2025/07/15 17:05:57 [error] 29#29: *1 orders-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/orders/confirmOrder/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3006/"
2025/07/15 20:48:58 [error] 29#29: *1 orders-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/orders/confirmOrder/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3006/"
2025/07/23 21:59:28 [error] 29#29: *1 stock-reservations-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/stock-reservations/cancelStockReservation/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3003/"
2025/07/24 17:54:10 [error] 29#29: *1 order-orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1//order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/07/24 17:54:15 [error] 29#29: *3 order-orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1//order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/07/24 17:58:09 [error] 29#29: *1 order-orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/07/24 17:58:13 [error] 29#29: *3 order-orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/07/24 18:07:09 [error] 29#29: *1 order-orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/07/24 20:06:35 [error] 29#29: *1 orchestrator-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "POST /api/v1/orchestrator/order-orchestrator/createOrder HTTP/1.1", host: "localhost", referrer: "http://localhost:3010/"
2025/08/08 16:49:40 [error] 28#28: *1 open() "/etc/nginx/html/replay/cart/1" failed (2: No such file or directory), client: 192.168.65.1, server: , request: "GET /replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:55:32 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:56:16 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:56:16 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:56:17 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:56:17 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 16:56:18 [error] 28#28: *1 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:09:59 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:02 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:03 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:04 [error] 29#29: *5 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
2025/08/08 17:10:08 [error] 29#29: *7 replay-service could not be resolved (3: Host not found), client: 192.168.65.1, server: , request: "GET /api/v1/replay/cart/1 HTTP/1.1", host: "localhost", referrer: "http://localhost:3011/"
